,Fiyat,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Tapu Durumu,Eşya Durumu,Site İçerisinde,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Banyo Sayısı,Balkon Sayısı,WC Sayısı,Sehir,Ilce,Mahalle
15875,5250000,3,5,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,120,0 (Yeni),5,Boş,Yatırıma Uygun,2,1.0,2.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15876,1200000,2,1,Kombi Doğalgaz,Krediye Uygun Değil,İkinci El,Arsa Tapulu,,Hayır,70,21 Ve Üzeri,4,Kiracı Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Orta Mahallesi
15877,3280000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,0 (Yeni),5,Boş,,1,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15878,2250000,4,5,Doğalgaz Sobalı,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,125,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,2,,2.0,İstanbul,Bayrampaşa,Terazidere Mahallesi
15880,3825000,2,15,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,85,5-10,23,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Altıntepsi Mahallesi
15881,3995000,2,18,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,85,5-10,23,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Altıntepsi Mahallesi
15882,6950000,3,2,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,118,5-10,9,Boş,,2,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15883,3050000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,0 (Yeni),3,Boş,,1,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15884,6500000,6,5,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,200,0 (Yeni),5,Boş,,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15885,6250000,6,5,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,190,2,5,Mülk Sahibi Oturuyor,,3,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15886,3450000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,80,2,4,Kiracı Oturuyor,,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15887,2450000,4,0,Kombi Doğalgaz,Krediye Uygun Değil,,,Boş,Hayır,140,5-10,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15888,3100000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,,Hayır,95,21 Ve Üzeri,4,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15889,4025000,3,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,95,5-10,5,Boş,Yatırıma Uygun,1,1.0,2.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15890,4375000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,0 (Yeni),5,Boş,,1,,,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15891,3500000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,110,0 (Yeni),3,Boş,,1,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15892,1700000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,80,21 Ve Üzeri,3,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15893,1675000,3,-1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,80,5-10,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Terazidere Mahallesi
15894,2850000,3,1,Yerden Isıtma,Krediye Uygun,,Kat Mülkiyeti,Boş,Hayır,120,1,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15895,2795000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,110,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,2.0,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15896,5000000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,110,0 (Yeni),4,Boş,,1,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15897,6950000,3,1,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,118,5-10,9,Boş,,2,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15898,3250000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,105,16-20,4,Kiracı Oturuyor,,2,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15899,2650000,2,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,65,0 (Yeni),4,Boş,,1,,,İstanbul,Bayrampaşa,Yenidoğan Mahallesi
15900,3400000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,110,0 (Yeni),5,Boş,,1,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15901,3500000,3,2,Kombi Doğalgaz,Krediye Uygun Değil,,,Boş,Hayır,80,0 (Yeni),4,Boş,,1,,,İstanbul,Bayrampaşa,Yenidoğan Mahallesi
15902,4400000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,125,0 (Yeni),5,Boş,,2,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15903,5000000,5,4,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,2,5,Kiracı Oturuyor,,2,,,İstanbul,Bayrampaşa,Orta Mahallesi
15904,7000000,4,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,134,0 (Yeni),5,Boş,,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15905,1050000,3,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,80,21 Ve Üzeri,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Cevatpaşa Mahallesi
15906,2250000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,100,21 Ve Üzeri,5,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,2.0,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15907,4200000,3,3,Kombi Doğalgaz,Krediye Uygun,,Kat Mülkiyeti,,Hayır,100,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,1,1.0,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15908,3950000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,3,3,Boş,,1,,,İstanbul,Bayrampaşa,Yenidoğan Mahallesi
15909,2450000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,90,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15910,2250000,3,5,Kombi Doğalgaz,Krediye Uygun,İkinci El,Hisseli Tapu,Boş,Hayır,110,21 Ve Üzeri,6,Boş,Yatırıma Uygun,1,2.0,2.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15911,3000000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,90,0 (Yeni),7,Boş,,1,2.0,2.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15912,3200000,3,2,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,90,0 (Yeni),7,Boş,Yatırıma Uygun,1,1.0,2.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15913,4650000,5,5,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,190,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,3,2.0,3.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15914,2750000,4,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Hayır,130,11-15,4,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Terazidere Mahallesi
15915,1500000,2,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,70,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15916,3600000,5,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,5-10,4,Mülk Sahibi Oturuyor,,2,,,İstanbul,Bayrampaşa,Terazidere Mahallesi
15917,1950000,3,1,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,70,5-10,4,Boş,,1,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15918,2700000,3,0,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,140,5-10,5,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15920,2900000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,105,5-10,4,Mülk Sahibi Oturuyor,,1,,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15921,1925000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,21 Ve Üzeri,3,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15922,3850000,3,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,,Boş,Hayır,115,0 (Yeni),5,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Cevatpaşa Mahallesi
15923,3350000,3,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat İrtifakı,Boş,Hayır,90,0 (Yeni),5,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Cevatpaşa Mahallesi
15924,4250000,3,2,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,102,0 (Yeni),5,Boş,Yatırıma Uygun,2,1.0,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15925,2125000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,,Hayır,85,11-15,5,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Terazidere Mahallesi
15926,1850000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,102,11-15,4,Boş,,2,,,İstanbul,Bayrampaşa,Orta Mahallesi
15927,2900000,4,1,Kombi Doğalgaz,Krediye Uygun Değil,,,Boş,Hayır,130,21 Ve Üzeri,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Orta Mahallesi
15928,3800000,4,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,1,4,Mülk Sahibi Oturuyor,,2,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15929,1575000,3,5,Doğalgaz Sobalı,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,70,21 Ve Üzeri,5,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15930,2400000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,85,1,5,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15931,2700000,3,4,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,95,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15932,1750000,3,1,Doğalgaz Sobalı,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,100,21 Ve Üzeri,5,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Cevatpaşa Mahallesi
15933,3875000,2,3,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,65,5-10,18,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15934,1800000,3,5,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,110,21 Ve Üzeri,6,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Cevatpaşa Mahallesi
15935,2975000,3,0,Yerden Isıtma,Krediye Uygun,,,Boş,Hayır,117,0 (Yeni),5,Boş,,2,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15936,4600000,6,3,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,220,21 Ve Üzeri,3,Boş,Yatırıma Uygun,2,3.0,2.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15938,3800000,4,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,16-20,4,Boş,,2,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15939,5900000,6,3,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,220,0 (Yeni),3,Boş,Yatırıma Uygun,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15940,4650000,4,2,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,145,5-10,4,Boş,,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15941,2100000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,,Hayır,85,5-10,5,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15942,3850000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,120,5-10,3,Mülk Sahibi Oturuyor,,2,,,İstanbul,Bayrampaşa,Orta Mahallesi
15943,2750000,3,2,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,80,11-15,5,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15944,4100000,4,5,Yerden Isıtma,Krediye Uygun,,,Boş,Hayır,140,0 (Yeni),5,Boş,,1,,,İstanbul,Bayrampaşa,Terazidere Mahallesi
15945,3250000,3,1,Yerden Isıtma,Krediye Uygun,,,Boş,Hayır,70,0 (Yeni),5,Boş,,1,,,İstanbul,Bayrampaşa,Terazidere Mahallesi
15946,5200000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,120,0 (Yeni),5,Boş,,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15947,1050000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,,Hayır,75,21 Ve Üzeri,5,Kiracı Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Cevatpaşa Mahallesi
15948,4500000,3,0,Kombi Doğalgaz,Krediye Uygun Değil,,,Boş,Hayır,85,2,7,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15949,3500000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,95,5-10,5,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15950,5150000,4,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,120,0 (Yeni),3,Boş,,1,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15951,7500000,7,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,240,0 (Yeni),3,Boş,,3,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15952,2800000,4,4,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,130,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15953,1850000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,95,5-10,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15954,1800000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,21 Ve Üzeri,3,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Altıntepsi Mahallesi
15955,2850000,3,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,80,11-15,5,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15956,2850000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,70,11-15,5,Mülk Sahibi Oturuyor,,1,,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15957,4500000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,5-10,3,Boş,,1,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15958,3300000,3,0,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,110,0 (Yeni),5,Boş,,1,,,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15959,5000000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,130,0 (Yeni),4,Boş,,2,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15960,5000000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,130,0 (Yeni),5,Boş,,1,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15961,2500000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,80,4,5,Boş,Yatırıma Uygun,1,,,İstanbul,Bayrampaşa,Terazidere Mahallesi
15962,3900000,6,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,5-10,3,Mülk Sahibi Oturuyor,,2,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15963,3500000,4,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,110,0 (Yeni),5,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15964,2250000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Yenidoğan Mahallesi
15965,3100000,3,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,90,0 (Yeni),5,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15966,2700000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,11-15,4,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Terazidere Mahallesi
15967,2650000,3,2,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,85,16-20,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15968,3550000,3,2,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,90,0 (Yeni),5,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15969,5650000,4,1,Merkezi Doğalgaz,Krediye Uygun Değil,Sıfır,Kat Mülkiyeti,Boş,Evet,96,0 (Yeni),9,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,2.0,1.0,İstanbul,Bayrampaşa,İsmet Paşa Mahallesi
15970,3000000,3,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,,,Hayır,95,0 (Yeni),2,Boş,,1,,,İstanbul,Bayrampaşa,Yenidoğan Mahallesi
15971,2050000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,,,Hayır,82,5-10,4,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15972,6700000,7,4,Kombi Doğalgaz,Krediye Uygun,Sıfır,,,Hayır,260,0 (Yeni),4,Boş,,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15973,7500000,7,4,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,245,5-10,4,Boş,,3,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15974,6900000,3,7,Merkezi (Pay Ölçer),Krediye Uygun,,,,Hayır,130,5-10,25,Boş,,2,,,İstanbul,Bayrampaşa,Cevatpaşa Mahallesi
15975,2500000,3,0,Kombi Doğalgaz,Krediye Uygun,,Kat Mülkiyeti,,Hayır,116,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,1,,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15976,4850000,4,4,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,180,11-15,5,Mülk Sahibi Oturuyor,,2,,,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15977,1750000,3,5,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,,Hayır,100,21 Ve Üzeri,5,Boş,,1,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
15978,2750000,3,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,80,3,4,Kiracı Oturuyor,,1,,1.0,İstanbul,Bayrampaşa,Terazidere Mahallesi
15979,3625000,4,2,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,130,0 (Yeni),5,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Vatan Mahallesi
15980,5550000,6,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,170,5-10,3,Kiracı Oturuyor,,2,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15981,2750000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,5-10,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,İsmet Paşa Mahallesi
15982,5700000,4,-1,Kombi Doğalgaz,Krediye Uygun,,Kat İrtifakı,,Evet,160,5-10,5,Kiracı Oturuyor,,2,1.0,2.0,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15983,1750000,3,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,5-10,5,Boş,,1,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15984,3250000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,5-10,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15985,3400000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,115,0 (Yeni),3,Boş,,1,,,İstanbul,Bayrampaşa,Kocatepe Mahallesi
15986,2850000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,90,0 (Yeni),3,Boş,,1,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15987,2350000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,130,21 Ve Üzeri,4,Kiracı Oturuyor,,2,,,İstanbul,Bayrampaşa,Altıntepsi Mahallesi
15988,4250000,6,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,190,5-10,5,Kiracı Oturuyor,,2,,,İstanbul,Bayrampaşa,Muratpaşa Mahallesi
15989,3450000,3,1,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,80,0 (Yeni),3,Boş,,1,,,İstanbul,Bayrampaşa,Yenidoğan Mahallesi
15990,1300000,3,3,Doğalgaz Sobalı,Krediye Uygun,,,Boş,Hayır,80,21 Ve Üzeri,3,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15991,3500000,5,5,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,170,11-15,5,Kiracı Oturuyor,,2,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15992,1900000,2,4,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,70,5-10,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Vatan Mahallesi
15993,2200000,3,4,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,100,21 Ve Üzeri,5,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15994,1400000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,80,21 Ve Üzeri,5,Kiracı Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Orta Mahallesi
15995,1780000,3,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,4,5,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Altıntepsi Mahallesi
15996,3500000,5,5,Kombi Doğalgaz,Krediye Uygun,,Kat Mülkiyeti,,Hayır,175,5-10,5,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Vatan Mahallesi
15997,3000000,3,3,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,100,16-20,5,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15998,2350000,3,1,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,85,0 (Yeni),5,Boş,,1,,1.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
15999,6250000,4,2,Merkezi Doğalgaz,Krediye Uygun,Sıfır,,,Hayır,110,0 (Yeni),5,Boş,,1,,2.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
16000,2650000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Hayır,85,4,3,Kiracı Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Bayrampaşa,Altıntepsi Mahallesi
16001,4000000,4,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,120,5-10,4,Kiracı Oturuyor,,1,,,İstanbul,Bayrampaşa,Orta Mahallesi
16002,2500000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,,2,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
16003,2595000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,5-10,5,Mülk Sahibi Oturuyor,,1,,,İstanbul,Bayrampaşa,Kartaltepe Mahallesi
16004,3750000,3,2,Kombi Doğalgaz,Krediye Uygun Değil,İkinci El,Kat Mülkiyeti,,Hayır,150,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,1.0,2.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
16005,5750000,4,3,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,140,11-15,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,1.0,2.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
16006,6500000,5,6,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat İrtifakı,Boş,Hayır,200,0 (Yeni),6,Boş,Yatırıma Uygun,2,2.0,2.0,İstanbul,Bayrampaşa,Yıldırım Mahallesi
